Var1,Var2,Var3,Var4,Var5,Var6
02261551320201,human_9,2.1,base,1,5.04730521969851e-06
02261542510211,human_9,2.1,hip,1,0.0175056963192635
02262220530221,human_9,2.1,knee,1,0.000659096986365604
02262329520231,human_9,2.1,ank,1,0.0017124303755694302
02262353350241,human_9,2.1,hk,1,0.0731227992994456
02270124520251,human_9,2.1,ha,1,0.00381630771853231
02262018270261,human_9,2.1,ka,1,0.000137835276507954
02261514410202,human_9,2.1,base,0,0.0006642101734253371
02261511030212,human_9,2.1,hip,0,0.00178247282547395
02262151460222,human_9,2.1,knee,0,0.00231428257377895
02262301390232,human_9,2.1,ank,0,0.0014907437017458401
02262327230242,human_9,2.1,hk,0,2.56830855037982e-05
02270053300252,human_9,2.1,ha,0,0.00863400397363731
02261951280262,human_9,2.1,ka,0,0.000984212426144335
02262127530201,human_9_load,2.1,base,1,0.0009581202542253651
02262203320211,human_9_load,2.1,hip,1,0.000153717425513251
02262337030221,human_9_load,2.1,knee,1,5.6021482948753794e-05
02270626510231,human_9_load,2.1,ank,1,0.35237703778796703
02270428160241,human_9_load,2.1,hk,1,0.0321986450331354
02270138200251,human_9_load,2.1,ha,1,0.05255055936247701
02270343280261,human_9_load,2.1,ka,1,0.0293944065404017
02262059450202,human_9_load,2.1,base,0,0.00255347197636118
02262132430212,human_9_load,2.1,hip,0,0.0055563066166194
02262307100222,human_9_load,2.1,knee,0,0.00703445485032611
02270555560232,human_9_load,2.1,ank,0,0.0268892603295513
02270402310242,human_9_load,2.1,hk,0,0.00572352554542775
02270103290252,human_9_load,2.1,ha,0,0.0005344007041233741
02270315410262,human_9_load,2.1,ka,0,0.0011920881837686802
02270440380201,human_9_exo_load,2.1,base,1,0.0164787413185041
02270407350211,human_9_exo_load,2.1,hip,1,0.003127723737877
02270446180221,human_9_exo_load,2.1,knee,1,0.110759441414444
02270606160231,human_9_exo_load,2.1,ank,1,0.36972636674056103
02270645580241,human_9_exo_load,2.1,hk,1,1.3505350446847502
02270804120251,human_9_exo_load,2.1,ha,1,0.0768134939111885
02270841570261,human_9_exo_load,2.1,ka,1,0.0347595069281827
02270408460202,human_9_exo_load,2.1,base,0,0.00410889530830337
02270357540212,human_9_exo_load,2.1,hip,0,0.000167801251028146
02270851330222,human_9_exo_load,2.1,knee,0,0.6149716082063921
02270539390232,human_9_exo_load,2.1,ank,0,0.0118887391401383
02270620040242,human_9_exo_load,2.1,hk,0,0.0047049074825970295
02270735370252,human_9_exo_load,2.1,ha,0,0.0101310510376689
02270839260262,human_9_exo_load,2.1,ka,0,0.156196920898712
